cf_id,contact_id,company_name,project_description,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
1546,5336,Maldonado and Sons,Reverse-engineered asynchronous archive,successful,165,US,USD,2021-01-26,2021-12-10,cat5,subcat5
2871,4994,Mitchell and Sons,Synergized intangible challenge,successful,1965,DK,DKK,2021-03-16,2021-03-25,cat5,subcat7
2034,1471,Jackson-Lewis,Monitored multi-state encryption,successful,16,US,USD,2021-04-07,2021-11-26,cat4,subcat4
2677,4482,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,successful,107,US,USD,2020-11-20,2021-10-18,cat6,subcat14
1865,3241,Maldonado-Gonzalez,Digitized client-driven database,successful,134,US,USD,2021-08-23,2022-01-10,cat8,subcat15
170,3477,Kim-Rice,Organized bi-directional function,failed,88,DK,DKK,2021-04-14,2021-05-01,cat4,subcat4
462,2265,"Garcia, Garcia and Lopez",Reduced stable middleware,successful,198,US,USD,2020-11-18,2021-03-18,cat3,subcat9
3122,5911,Watts Group,Universal 5thgeneration neural-net,successful,111,IT,EUR,2021-03-17,2021-07-08,cat2,subcat2
1175,2288,Werner-Bryant,Virtual uniform frame,successful,222,US,USD,2020-06-20,2021-01-30,cat1,subcat1
2301,4064,Schmitt-Mendoza,Profound explicit paradigm,successful,6212,US,USD,2020-11-14,2021-07-06,cat6,subcat16
91,1294,Reid-Mccullough,Visionary real-time groupware,successful,98,DK,DKK,2020-11-25,2021-03-01,cat6,subcat14
87,5008,Woods-Clark,Networked tertiary Graphical User Interface,failed,48,US,USD,2021-01-18,2021-03-20,cat4,subcat4
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,successful,92,US,USD,2021-05-23,2021-09-23,cat2,subcat2
1711,3263,Bennett and Sons,Function-based multi-state software,successful,149,US,USD,2020-12-18,2021-06-27,cat4,subcat4
2294,5631,Lamb Inc,Optimized leadingedge concept,successful,2431,US,USD,2021-02-22,2021-11-10,cat4,subcat4
2389,2851,Casey-Kelly,Sharable holistic interface,successful,303,US,USD,2021-01-25,2022-01-30,cat2,subcat2
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line,failed,1,IT,EUR,2021-10-08,2021-11-03,cat2,subcat17
1213,1664,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,failed,1467,GB,GBP,2020-09-07,2021-07-29,cat3,subcat9
29,5027,"Hernandez, Rodriguez and Clark",Organic foreground leverage,failed,75,US,USD,2021-03-12,2022-01-05,cat4,subcat4
2309,3070,Smith-Jones,Reverse-engineered static concept,successful,209,US,USD,2021-10-14,2021-12-24,cat5,subcat7
2101,4248,Roy PLC,Multi-channeled neutral customer loyalty,failed,120,US,USD,2021-03-30,2021-05-24,cat3,subcat9
1057,2034,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,successful,131,US,USD,2021-09-29,2021-11-29,cat2,subcat18
2655,4085,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,successful,164,US,USD,2021-03-03,2021-05-22,cat3,subcat9
202,3569,"Bridges, Freeman and Kim",Cross-group multi-state task-force,successful,201,US,USD,2021-07-23,2021-12-04,cat7,subcat12
2025,3889,Anderson-Perez,Expanded 3rdgeneration strategy,successful,211,US,USD,2021-02-09,2021-06-11,cat4,subcat4
2395,3136,"Wright, Fox and Marks",Assimilated real-time support,successful,128,US,USD,2020-12-10,2021-03-07,cat4,subcat4
1418,2103,Crawford-Peters,User-centric regional database,successful,1600,CA,CAD,2020-10-20,2021-08-24,cat4,subcat4
1905,2329,Romero-Hoffman,Open-source zero administration complexity,failed,2253,CA,CAD,2021-06-15,2021-10-26,cat4,subcat4
1969,3325,Sparks-West,Organized incremental standardization,successful,249,US,USD,2021-08-19,2021-11-21,cat3,subcat3
2430,3131,"Baker, Morgan and Brown",Assimilated didactic open system,failed,5,US,USD,2021-06-25,2021-07-16,cat4,subcat4
1291,4995,Mosley-Gilbert,Vision-oriented logistical intranet,failed,38,US,USD,2021-05-21,2021-09-23,cat3,subcat3
1934,3631,Berry-Boyer,Mandatory incremental projection,successful,236,US,USD,2021-02-23,2021-11-20,cat4,subcat4
1225,5373,Sanders-Allen,Grass-roots needs-based encryption,failed,12,US,USD,2021-10-05,2021-11-06,cat4,subcat4
1363,3126,Lopez Inc,Team-oriented 6thgeneration middleware,successful,4065,GB,GBP,2020-11-03,2021-09-24,cat3,subcat9
963,2194,Moreno-Turner,Inverse multi-tasking installation,successful,246,IT,EUR,2020-08-10,2021-02-07,cat4,subcat4
1486,2906,Jones-Watson,Switchable disintermediate moderator,canceled,17,US,USD,2021-06-27,2022-01-17,cat4,subcat4
676,2611,Barker Inc,Re-engineered 24/7 task-force,successful,2475,IT,EUR,2021-08-08,2022-01-30,cat4,subcat4
2137,2374,"Tate, Bass and House",Organic object-oriented budgetary management,successful,76,US,USD,2021-03-19,2021-06-05,cat4,subcat4
2656,3254,"Hampton, Lewis and Ray",Seamless coherent parallelism,successful,54,US,USD,2021-07-27,2021-11-30,cat5,subcat11
1556,3571,Collins-Goodman,Cross-platform even-keeled initiative,successful,88,US,USD,2020-05-11,2021-03-09,cat2,subcat18
747,2812,Davis-Michael,Progressive tertiary framework,successful,85,GB,GBP,2021-06-29,2021-08-27,cat2,subcat17
60,3961,"White, Torres and Bishop",Multi-layered dynamic protocol,successful,170,US,USD,2021-02-25,2021-03-31,cat8,subcat15
2459,3872,"Martin, Conway and Larsen",Horizontal next generation function,failed,1684,US,USD,2020-12-13,2021-12-26,cat4,subcat4
1903,4736,Acevedo-Huffman,Pre-emptive impactful model,failed,56,US,USD,2021-06-17,2021-08-27,cat5,subcat11
2003,5119,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,successful,330,US,USD,2020-12-24,2021-04-16,cat6,subcat19
2885,5725,Soto LLC,Triple-buffered reciprocal project,failed,838,US,USD,2021-06-13,2021-11-18,cat4,subcat4
2067,4037,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,successful,127,US,USD,2021-06-26,2021-10-21,cat7,subcat12
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,successful,411,US,USD,2020-11-01,2021-03-04,cat2,subcat2
2909,3283,Porter-George,Reactive content-based framework,successful,180,GB,GBP,2020-10-09,2021-11-11,cat7,subcat12
1239,6181,Fitzgerald PLC,Realigned user-facing concept,failed,1000,US,USD,2021-06-25,2021-08-08,cat2,subcat6
2480,3251,Cisneros-Burton,Public-key zero tolerance orchestration,successful,374,US,USD,2021-07-03,2021-10-05,cat3,subcat9
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,successful,71,AU,AUD,2021-05-29,2021-08-20,cat2,subcat8
2030,2988,Davis-Smith,Organic motivating firmware,successful,203,US,USD,2021-05-16,2021-09-12,cat4,subcat4
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,failed,1482,AU,AUD,2020-08-23,2021-03-24,cat2,subcat2
2821,2085,Clark Group,Grass-roots fault-tolerant policy,successful,113,US,USD,2020-07-21,2021-02-22,cat6,subcat19
2468,1672,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,successful,96,US,USD,2020-07-23,2021-01-18,cat4,subcat4
656,4426,Kramer Group,Synergistic explicit parallelism,failed,106,US,USD,2021-10-09,2021-11-15,cat4,subcat4
2791,3211,"Frazier, Patrick and Smith",Enhanced systemic analyzer,failed,679,IT,EUR,2020-07-03,2021-06-17,cat6,subcat19
1527,3190,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,successful,498,CH,CHF,2020-08-05,2021-05-15,cat7,subcat12
1891,2081,Hall and Sons,Pre-emptive radical architecture,canceled,610,US,USD,2020-11-22,2021-12-05,cat4,subcat4
580,3185,Hanson Inc,Grass-roots web-enabled contingency,successful,180,GB,GBP,2021-03-14,2021-08-29,cat3,subcat3
682,5044,Sanchez LLC,Stand-alone system-worthy standardization,successful,27,US,USD,2021-08-06,2021-09-05,cat5,subcat5
3097,1883,Howard Ltd,Down-sized systematic policy,successful,2331,US,USD,2021-10-18,2021-12-26,cat4,subcat4
873,2067,Stewart LLC,Cloned bi-directional architecture,successful,113,US,USD,2020-11-29,2021-06-11,cat1,subcat1
1668,4604,"Arias, Allen and Miller",Seamless transitional portal,failed,1220,AU,AUD,2021-02-14,2021-11-03,cat7,subcat12
3076,3203,Baker-Morris,Fully-configurable motivating approach,successful,164,US,USD,2020-08-23,2021-02-06,cat4,subcat4
3146,5758,"Tucker, Fox and Green",Upgradable fault-tolerant approach,failed,1,US,USD,2021-06-22,2021-10-23,cat4,subcat4
253,5755,Douglas LLC,Reduced heuristic moratorium,successful,164,US,USD,2021-10-06,2022-01-27,cat2,subcat6
3088,5150,Garcia Inc,Front-line web-enabled model,successful,336,US,USD,2020-09-18,2021-08-18,cat3,subcat9
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,failed,37,IT,EUR,2021-05-10,2021-08-03,cat2,subcat6
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,successful,1917,US,USD,2021-07-09,2021-10-15,cat2,subcat8
478,4865,Charles-Johnson,Total fresh-thinking system engine,successful,95,US,USD,2020-10-08,2021-07-23,cat3,subcat3
1061,2862,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,successful,147,US,USD,2021-03-05,2021-05-19,cat4,subcat4
2957,6070,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,successful,86,US,USD,2021-05-07,2021-12-28,cat4,subcat4
2015,5300,Decker Inc,Universal encompassing implementation,successful,83,US,USD,2020-10-14,2021-07-23,cat5,subcat5
1179,3486,Romero and Sons,Object-based client-server application,failed,60,US,USD,2020-10-01,2021-06-12,cat5,subcat20
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,failed,296,US,USD,2020-05-05,2021-05-30,cat1,subcat1
2869,2849,Hart-Briggs,Re-engineered user-facing approach,successful,676,US,USD,2021-03-17,2021-10-27,cat6,subcat16
718,1612,Jones-Meyer,Re-engineered client-driven hub,successful,361,AU,AUD,2020-10-24,2021-04-12,cat3,subcat3
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,successful,131,US,USD,2021-01-29,2021-02-13,cat1,subcat1
2431,5288,Harper-Davis,Robust heuristic encoding,successful,126,US,USD,2021-07-02,2021-12-31,cat3,subcat9
468,6026,Barrett PLC,Team-oriented clear-thinking capacity,failed,3304,IT,EUR,2021-03-20,2021-04-16,cat6,subcat14
1862,2212,David-Clark,De-engineered motivating standardization,failed,73,US,USD,2021-09-02,2021-12-31,cat4,subcat4
2300,4591,Chaney-Dennis,Business-focused 24hour groupware,successful,275,US,USD,2021-06-18,2021-12-31,cat5,subcat20
449,2771,"Robinson, Lopez and Christensen",Organic next generation protocol,successful,67,US,USD,2020-10-07,2021-10-17,cat8,subcat15
283,5682,Clark and Sons,Reverse-engineered full-range Internet solution,successful,154,US,USD,2021-07-27,2021-11-01,cat5,subcat5
2484,5368,Vega Group,Synchronized regional synergy,successful,1782,US,USD,2021-04-15,2021-10-08,cat7,subcat21
1490,3706,Brown-Brown,Multi-lateral homogeneous success,successful,903,US,USD,2020-06-21,2021-04-14,cat7,subcat12
186,4034,Taylor PLC,Seamless zero-defect solution,failed,3387,US,USD,2020-05-21,2021-01-28,cat6,subcat14
2999,3209,Edwards-Lewis,Enhanced scalable concept,failed,662,CA,CAD,2022-01-15,2022-02-03,cat4,subcat4
2819,2384,"Stanton, Neal and Rodriguez",Polarized uniform software,successful,94,IT,EUR,2020-07-19,2021-02-28,cat8,subcat15
2105,3074,Pratt LLC,Stand-alone web-enabled moderator,successful,180,US,USD,2020-05-10,2021-05-02,cat4,subcat4
1324,2031,Gross PLC,Proactive methodical benchmark,failed,774,US,USD,2020-03-24,2021-03-11,cat4,subcat4
1952,5873,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,failed,672,CA,CAD,2021-03-03,2021-06-16,cat4,subcat4
2404,5501,Allen-Curtis,Phased human-resource core,canceled,532,US,USD,2020-09-13,2021-09-17,cat2,subcat2
990,3489,Morgan-Martinez,Mandatory tertiary implementation,canceled,55,AU,AUD,2021-03-23,2021-12-06,cat1,subcat1
1459,4210,"Luna, Anderson and Fox",Secured directional encryption,successful,533,DK,DKK,2020-10-10,2021-07-13,cat5,subcat7
1106,6151,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,successful,2443,GB,GBP,2021-07-17,2022-01-18,cat3,subcat3
1488,6047,Flowers and Sons,Virtual static core,successful,89,US,USD,2020-10-20,2021-11-02,cat4,subcat4
2107,5445,Gates PLC,Secured content-based product,successful,159,US,USD,2020-07-09,2021-05-18,cat2,subcat22
2660,5493,Caldwell LLC,Secured executive concept,failed,940,CH,CHF,2021-07-23,2021-07-28,cat5,subcat5
2647,6036,"Le, Burton and Evans",Balanced zero-defect software,failed,117,US,USD,2020-12-25,2021-12-02,cat4,subcat4
565,2368,Briggs PLC,Distributed context-sensitive flexibility,canceled,58,US,USD,2021-03-23,2021-04-14,cat5,subcat7
2713,1501,Hudson-Nguyen,Down-sized disintermediate support,successful,50,US,USD,2020-04-07,2021-02-14,cat6,subcat10
558,4351,Hogan Ltd,Stand-alone mission-critical moratorium,failed,115,US,USD,2021-05-10,2021-12-17,cat7,subcat21
698,3096,"Hamilton, Wright and Chavez",Down-sized empowering protocol,failed,326,US,USD,2021-01-14,2021-07-07,cat3,subcat9
321,6162,Bautista-Cross,Fully-configurable coherent Internet solution,successful,186,US,USD,2020-10-18,2021-05-05,cat5,subcat5
1302,1433,Jackson LLC,Distributed motivating algorithm,successful,1071,US,USD,2020-05-07,2021-03-21,cat3,subcat3
1410,2720,Figueroa Ltd,Expanded solution-oriented benchmark,successful,117,US,USD,2021-05-26,2021-11-24,cat3,subcat3
2465,5251,Avila-Jones,Implemented discrete secured line,successful,70,US,USD,2020-12-03,2021-11-25,cat2,subcat8
377,1797,"Martin, Lopez and Hunter",Multi-lateral actuating installation,successful,135,US,USD,2021-02-07,2021-04-20,cat4,subcat4
1882,1656,Fields-Moore,Secured reciprocal array,successful,768,CH,CHF,2021-01-28,2021-11-21,cat3,subcat9
822,1346,Harris-Golden,Optional bandwidth-monitored middleware,canceled,51,US,USD,2020-09-15,2021-02-01,cat4,subcat4
2730,2989,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,successful,199,US,USD,2021-08-21,2021-11-15,cat4,subcat4
2198,5629,"White, Larson and Wright",Upgradable hybrid capability,successful,107,US,USD,2020-04-19,2021-02-15,cat3,subcat9
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,successful,195,US,USD,2020-09-08,2021-04-16,cat2,subcat8
2588,3229,"Brown, Palmer and Pace",Networked stable workforce,failed,1,US,USD,2021-01-21,2021-07-11,cat2,subcat2
1090,2277,Parker LLC,Customizable intermediate extranet,failed,1467,US,USD,2021-12-02,2022-01-12,cat2,subcat6
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,successful,3376,US,USD,2020-11-13,2021-07-23,cat2,subcat8
2171,3694,"Whitehead, Bell and Hughes",Multi-tiered radical definition,failed,5681,US,USD,2021-07-17,2021-11-12,cat4,subcat4
625,2260,Rodriguez-Brown,Devolved foreground benchmark,failed,1059,US,USD,2021-01-29,2021-06-20,cat2,subcat8
1065,5374,Hall-Schaefer,Distributed eco-centric methodology,failed,1194,US,USD,2021-05-23,2021-07-29,cat4,subcat4
174,4420,Meza-Rogers,Streamlined encompassing encryption,canceled,379,AU,AUD,2020-11-24,2021-12-26,cat2,subcat2
1344,3849,Curtis-Curtis,User-friendly reciprocal initiative,failed,30,AU,AUD,2021-04-20,2021-10-14,cat8,subcat15
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation,successful,41,US,USD,2020-12-28,2021-11-24,cat2,subcat2
940,5230,"Clarke, Anderson and Lee",Robust explicit hardware,successful,1821,US,USD,2021-05-22,2021-06-30,cat4,subcat4
3024,1763,Evans Group,Stand-alone actuating support,successful,164,US,USD,2021-04-26,2021-07-14,cat3,subcat9
2164,4323,Bruce Group,Cross-platform methodical process improvement,failed,75,US,USD,2021-02-01,2021-09-05,cat3,subcat3
2427,5256,"Keith, Alvarez and Potter",Extended bottom-line open architecture,successful,157,CH,CHF,2021-09-05,2021-12-16,cat2,subcat2
1548,4836,Burton-Watkins,Extended reciprocal circuit,successful,246,US,USD,2020-08-01,2021-08-15,cat8,subcat15
2657,5981,Lopez and Sons,Polarized human-resource protocol,successful,1396,US,USD,2021-11-14,2021-11-24,cat4,subcat4
2916,1463,Cordova Ltd,Synergized radical product,successful,2506,US,USD,2021-05-05,2021-08-08,cat3,subcat3
1348,4577,Brown-Vang,Robust heuristic artificial intelligence,successful,244,US,USD,2021-01-11,2021-08-25,cat8,subcat15
557,4951,Cruz-Ward,Robust content-based emulation,successful,146,AU,AUD,2021-04-01,2021-10-19,cat4,subcat4
2915,3567,Hernandez Group,Ergonomic uniform open system,failed,955,DK,DKK,2020-05-16,2021-03-18,cat2,subcat8
320,5475,"Tran, Steele and Wilson",Profit-focused modular product,successful,1267,US,USD,2020-07-10,2021-03-23,cat5,subcat13
1458,2114,"Summers, Gallegos and Stein",Mandatory mobile product,failed,67,US,USD,2020-09-24,2021-07-27,cat2,subcat8
379,5216,Blair Group,Public-key 3rdgeneration budgetary management,failed,5,US,USD,2020-11-17,2021-11-23,cat6,subcat19
1879,1665,Nixon Inc,Centralized national firmware,failed,26,US,USD,2020-09-04,2021-04-16,cat5,subcat5
597,6051,White LLC,Cross-group 4thgeneration middleware,successful,1561,US,USD,2021-03-21,2021-10-17,cat4,subcat4
1130,3983,"Santos, Black and Donovan",Pre-emptive scalable access,successful,48,US,USD,2020-04-15,2021-02-08,cat3,subcat9
2354,2966,"Jones, Contreras and Burnett",Sharable intangible migration,failed,1130,US,USD,2021-01-27,2021-12-16,cat4,subcat4
1358,4478,Stone-Orozco,Proactive scalable Graphical User Interface,failed,782,US,USD,2021-01-06,2021-05-06,cat4,subcat4
188,4238,"Lee, Gibson and Morgan",Digitized solution-oriented product,successful,2739,US,USD,2021-05-02,2021-08-26,cat4,subcat4
2228,4404,Alexander-Williams,Triple-buffered cohesive structure,failed,210,US,USD,2021-04-17,2021-07-08,cat1,subcat1
1743,5666,Marks Ltd,Realigned human-resource orchestration,successful,3537,CA,CAD,2020-09-14,2021-04-11,cat4,subcat4
2563,3691,"Olsen, Edwards and Reid",Optional clear-thinking software,successful,2107,AU,AUD,2020-10-09,2021-06-06,cat3,subcat9
2424,2703,"Daniels, Rose and Tyler",Centralized global approach,failed,136,US,USD,2021-03-17,2021-04-15,cat3,subcat3
2369,4253,Adams Group,Reverse-engineered bandwidth-monitored contingency,successful,3318,DK,DKK,2021-03-09,2021-08-28,cat4,subcat4
1134,5652,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,failed,86,CA,CAD,2020-04-16,2021-03-02,cat2,subcat2
2241,3279,"Howard, Carter and Griffith",Adaptive asynchronous emulation,successful,340,US,USD,2021-07-13,2021-09-11,cat4,subcat4
2745,3233,Bailey PLC,Innovative actuating conglomeration,failed,19,US,USD,2020-04-28,2021-03-22,cat5,subcat20
1055,3017,Parker Group,Grass-roots foreground policy,failed,886,US,USD,2021-02-10,2021-08-16,cat4,subcat4
1215,3482,Fox Group,Horizontal transitional paradigm,successful,1442,CA,CAD,2020-06-12,2021-02-20,cat5,subcat13
2036,2166,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,failed,35,IT,EUR,2021-06-18,2021-10-07,cat4,subcat4
1191,4146,Anthony-Shaw,Switchable contextually-based access,canceled,441,US,USD,2021-01-30,2021-05-23,cat4,subcat4
879,2651,Cook LLC,Up-sized dynamic throughput,failed,24,US,USD,2021-02-24,2021-09-04,cat4,subcat4
3062,1409,Sutton PLC,Mandatory reciprocal superstructure,failed,86,IT,EUR,2020-07-25,2021-05-11,cat4,subcat4
611,3717,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,failed,243,US,USD,2020-11-07,2021-06-16,cat2,subcat2
3195,3963,"Calhoun, Rogers and Long",Progressive discrete hub,failed,65,US,USD,2020-04-25,2021-03-22,cat2,subcat8
1221,2152,Sandoval Group,Assimilated multi-tasking archive,successful,126,US,USD,2021-08-30,2021-09-21,cat2,subcat17
2536,2974,Smith and Sons,Upgradable high-level solution,successful,524,US,USD,2021-02-02,2021-12-15,cat2,subcat6
1834,1268,King Inc,Organic bandwidth-monitored frame,failed,100,DK,DKK,2020-08-06,2021-08-30,cat3,subcat9
593,1822,Perry and Sons,Business-focused logistical framework,successful,1989,US,USD,2021-03-14,2021-06-02,cat5,subcat7
3039,5066,Palmer Inc,Universal multi-state capability,failed,168,US,USD,2021-04-05,2021-07-05,cat2,subcat6
777,5075,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,failed,13,US,USD,2020-03-14,2021-03-13,cat2,subcat2
835,3855,"Becker, Rice and White",Reduced dedicated capability,failed,1,CA,CAD,2020-09-24,2021-05-26,cat4,subcat4
797,5923,"Osborne, Perkins and Knox",Cross-platform bi-directional workforce,successful,157,US,USD,2021-02-09,2021-10-26,cat3,subcat3
509,1867,Mcknight-Freeman,Upgradable scalable methodology,canceled,82,US,USD,2020-08-13,2021-04-22,cat1,subcat1
2286,4376,"Hayden, Shannon and Stein",Customer-focused client-server service-desk,successful,4498,AU,AUD,2021-05-24,2021-09-24,cat4,subcat4
2110,2785,Daniel-Luna,Mandatory multimedia leverage,failed,40,US,USD,2020-10-20,2021-01-17,cat2,subcat18
1038,5884,Weaver-Marquez,Focused analyzing circuit,successful,80,US,USD,2021-04-10,2022-01-04,cat4,subcat4
2893,2441,"Austin, Baker and Kelley",Fundamental grid-enabled strategy,canceled,57,US,USD,2021-06-04,2021-10-29,cat6,subcat14
805,1243,Carney-Anderson,Digitized 5thgeneration knowledgebase,successful,43,US,USD,2020-12-25,2021-08-29,cat2,subcat2
225,3411,Jackson Inc,Mandatory multi-tasking encryption,successful,2053,US,USD,2020-12-07,2021-08-21,cat5,subcat5
968,2467,Warren Ltd,Distributed system-worthy application,live,808,AU,AUD,2021-06-07,2021-09-21,cat5,subcat5
1369,1850,Schultz Inc,Synergistic tertiary time-frame,failed,226,DK,DKK,2021-01-28,2021-08-24,cat5,subcat23
1417,2604,Thompson LLC,Customer-focused impactful benchmark,failed,1625,US,USD,2020-06-13,2021-06-17,cat4,subcat4
3011,1693,Johnson Inc,Profound next generation infrastructure,successful,168,US,USD,2020-02-24,2021-03-05,cat4,subcat4
2691,2969,Morgan-Warren,Face-to-face encompassing info-mediaries,successful,4289,US,USD,2020-12-20,2021-07-30,cat2,subcat8
2159,1544,Sullivan Group,Open-source fresh-thinking policy,successful,165,US,USD,2021-06-01,2021-07-24,cat2,subcat2
2515,4149,"Vargas, Banks and Palmer",Extended 24/7 implementation,failed,143,US,USD,2020-10-07,2021-05-14,cat4,subcat4
544,3463,"Johnson, Dixon and Zimmerman",Organic dynamic algorithm,successful,1815,US,USD,2020-08-22,2021-01-06,cat4,subcat4
3030,2939,"Moore, Dudley and Navarro",Organic multi-tasking focus group,failed,934,US,USD,2021-03-09,2021-06-28,cat5,subcat23
817,2202,Price-Rodriguez,Adaptive logistical initiative,successful,397,GB,GBP,2021-02-04,2021-04-26,cat5,subcat13
